uni02BC,02BC
uni02C0,02C0
uni02C7,02C7
uni02C8,02C8
uni02CC,02CC
uni02D0,02D0
uni02D1,02D1
uni02D8,02D8
uni02D9,02D9
uni02DA,02DA
uni02DB,02DB
uni02DD,02DD
uni02E0,02E0
uni02E1,02E1
uni02E4,
uni0300,0300
uni0301,0301
uni0302,0302
uni03020306,
uni0303,0303
uni0304,0304
uni0305,0305
uni0306,0306
uni0306.high,
uni0307,0307
uni0308,0308
uni0309,0309
uni030A,030A
uni030B,030B
uni030C,030C
uni0318,0318
uni0319,0319
uni031A,031A
uni031B,031B
uni031C,031C
uni031D,031D
uni031E,031E
uni031F,031F
uni0320,0320
uni0323,0323
uni0324,0324
uni0325,0325
uni0326,0326
uni0327,0327
uni0328,0328
uni0329,0329
uni032A,032A
uni032B,032B
uni032C,032C
uni032D,032D
uni032E,032E
uni032F,032F
uni0330,0330
uni0331,0331
uni0332,0332
uni0333,0333
uni0334,0334
uni0335,0335
uni0336,0336
uni0337,0337
uni0338,0338
uni0339,0339
uni033A,033A
uni033B,033B
uni033C,033C
uni033D,033D
uni0361,0361
uni1780,1780
uni1780.alt,
uni178017B6,
uni178017B6.alt,
uni178017B6.dash,
uni178017B6.dotted,
uni178017B6.space,
uni178017C5.dash.right,
uni178017C5.dotted.right,
uni178017C5.right,
uni178017C5.right.alt,
uni178017C5.space.right,
uni1781,1781
uni1781.pronounlig,
uni178117B6,
uni178117C5.right,
uni1782,1782
uni178217B6,
uni178217C5.right,
uni1783,1783
uni178317B6,
uni178317C5.right,
uni1784,1784
uni178417B6,
uni178417C5.right,
uni1785,1785
uni178517B6,
uni178517C5.right,
uni1786,1786
uni178617B6,
uni178617C5.right,
uni1787,1787
uni178717B6,
uni178717C5.right,
uni1788,1788
uni178817B6,
uni178817C5.right,
uni1789,1789
uni1789.alt,
uni178917B6,
uni178917B6.alt,
uni178917C5.right,
uni178917C5.rightalt,
uni178A,178A
uni178A17B6,
uni178A17C5.right,
uni178A17CF,
uni178B,178B
uni178B17B6,
uni178B17C5.right,
uni178C,178C
uni178C17B6,
uni178C17C5.right,
uni178D,178D
uni178D17B6,
uni178D17C5.right,
uni178E,178E
uni178E17B6,
uni178E17C5.right,
uni178F,178F
uni178F17B6,
uni178F17C5.right,
uni1790,1790
uni179017B6,
uni179017C5.right,
uni1791,1791
uni179117B6,
uni179117C5.right,
uni1792,1792
uni179217B6,
uni179217C5.right,
uni1793,1793
uni179317B6,
uni179317C5.right,
uni1794,1794
uni1794.lig.left,
uni179417B6,
uni179417C5.right,
uni1795,1795
uni179517B6,
uni179517C5.right,
uni1796,1796
uni179617B6,
uni179617C5.right,
uni1797,1797
uni179717B6,
uni179717C5.right,
uni1798,1798
uni179817B6,
uni179817C5.right,
uni1799,1799
uni179917B6,
uni179917C5.right,
uni179A,179A
uni179A.spc,
uni179A17B6,
uni179A17C5.right,
uni179B,179B
uni179B17B6,
uni179B17C5.right,
uni179C,179C
uni179C.spc,
uni179C17B6,
uni179C17C5.right,
uni179D,179D
uni179D17B6,
uni179D17C5.right,
uni179E,179E
uni179E17B6,
uni179E17C5.right,
uni179F,179F
uni179F17B6,
uni179F17C5.right,
uni17A0,17A0
uni17A017B6,
uni17A017C5.right,
uni17A1,17A1
uni17A117B6,
uni17A117C5.right,
uni17A2,17A2
uni17A217B6,
uni17A217C5.right,
uni17A3,17A3
uni17A4,17A4
uni17A5,17A5
uni17A6,17A6
uni17A7,17A7
uni17A8,17A8
uni17A9,17A9
uni17AA,17AA
uni17AB,17AB
uni17AC,17AC
uni17AD,17AD
uni17AE,17AE
uni17AF,17AF
uni17B0,17B0
uni17B1,17B1
uni17B1.alt,
uni17B1.alt2,
uni17B2,17B2
uni17B3,17B3
uni17B3.alt,
uni17B4,17B4
uni17B5,17B5
uni17B6,17B6
uni17B6.lig.right,
uni17B7,17B7
uni17B7.ms.high,
uni17B7.ms.high2,
uni17B7.ms.narrowhigh,
uni17B7.ms.narrowhigh2,
uni17B7.narrow,
uni17B717CD,
uni17B717CD.ms.high,
uni17B717CD.ms.high2,
uni17B717CD.ms.narrowhigh,
uni17B717CD.ms.narrowhigh2,
uni17B717CD.narrow,
uni17B8,17B8
uni17B8.ms.high,
uni17B8.ms.high2,
uni17B8.ms.narrowhigh,
uni17B8.ms.narrowhigh2,
uni17B8.narrow,
uni17B9,17B9
uni17B9.ms.high,
uni17B9.ms.high2,
uni17B9.ms.narrowhigh,
uni17B9.ms.narrowhigh2,
uni17B9.narrow,
uni17BA,17BA
uni17BA.ms.high,
uni17BA.ms.high2,
uni17BA.ms.narrowhigh,
uni17BA.ms.narrowhigh2,
uni17BA.narrow,
uni17BB,17BB
uni17BB.low,
uni17BB.low.narrow,
uni17BB.ms.low2,
uni17BB.narrow,
uni17BC,17BC
uni17BC.low,
uni17BC.narrow,
uni17BD,17BD
uni17BD.low,
uni17BD.narrow,
uni17BE,17BE
uni17BF,17BF
uni17BF.rightpart1,
uni17BF.rightpart2,
uni17BF.rightpart3,
uni17C0,17C0
uni17C0.rightpart1,
uni17C0.rightpart2,
uni17C0.rightpart3,
uni17C1,17C1
uni17C2,17C2
uni17C3,17C3
uni17C4,17C4
uni17C5,17C5
uni17C5.lig.right,
uni17C5.rightpart,
uni17C6,17C6
uni17C6.a,
uni17C6.ms.high,
uni17C6.ms.high2,
uni17C6.ms.narrowhigh,
uni17C6.ms.narrowhigh2,
uni17C6.ms.psom,
uni17C6.narrow,
uni17C6.x,
uni17C7,17C7
uni17C8,17C8
uni17C9,17C9
uni17C9.a,
uni17C9.ms.high,
uni17C9.ms.narrowhigh,
uni17C9.narrow,
uni17CA,17CA
uni17CA.lower,
uni17CA.ms.high,
uni17CA.ms.narrowhigh,
uni17CA.narrow,
uni17CB,17CB
uni17CB.a,
uni17CB.ms.high,
