glyph_name,ps_name,sort_design,sort_final
uni1780,uni1780,1000,1000
uni1780.alt,uni1780.alt,1000.1,1000.1
uni178017B6,uni178017B6,1000.2,1000.2
uni178017B6.alt,uni178017B6.alt,1000.21,1000.21
uni178017B6.dash,uni178017B6.dash,1000.23,1000.23
uni178017B6.dotted,uni178017B6.dotted,1000.24,1000.24
uni178017B6.space,uni178017B6.space,1000.29,1000.29
uni178017C5.dash.right,uni178017C5.dash.right,1000.337,1000.337
uni178017C5.dotted.right,uni178017C5.dotted.right,1000.347,1000.347
uni178017C5.right,uni178017C5.right,1000.37,1000.37
uni178017C5.right.alt,uni178017C5.right.alt,1000.371,1000.371
uni178017C5.space.right,uni178017C5.space.right,1000.397,1000.397
uni1781,uni1781,1001,1001
uni1781.pronounlig,uni1781.pronounlig,1001.1,1001.1
uni178117B6,uni178117B6,1001.2,1001.2
uni178117C5.right,uni178117C5.right,1001.37,1001.37
uni1782,uni1782,1002,1002
uni178217B6,uni178217B6,1002.2,1002.2
uni178217C5.right,uni178217C5.right,1002.37,1002.37
uni1783,uni1783,1003,1003
uni178317B6,uni178317B6,1003.2,1003.2
uni178317C5.right,uni178317C5.right,1003.37,1003.37
uni1784,uni1784,1004,1004
uni178417B6,uni178417B6,1004.2,1004.2
uni178417C5.right,uni178417C5.right,1004.37,1004.37
uni1785,uni1785,1005,1005
uni178517B6,uni178517B6,1005.2,1005.2
uni178517C5.right,uni178517C5.right,1005.37,1005.37
uni1786,uni1786,1006,1006
uni178617B6,uni178617B6,1006.2,1006.2
uni178617C5.right,uni178617C5.right,1006.37,1006.37
uni1787,uni1787,1007,1007
uni178717B6,uni178717B6,1007.2,1007.2
uni1788,uni1788,1008,1008
uni178817B6,uni178817B6,1008.2,1008.2
uni178717C5.right,uni178717C5.right,1008.37,1008.37
uni1789,uni1789,1009,1009
uni1789.alt,uni1789.alt,1009.1,1009.1
uni178917B6,uni178917B6,1009.2,1009.2
uni178917B6.alt,uni178917B6.alt,1009.21,1009.21
uni178817C5.right,uni178817C5.right,1009.37,1009.37
uni178917C5.right,uni178917C5.right,1009.37,1009.37
uni178917C5.rightalt,uni178917C5.rightalt,1009.371,1009.371
uni178A,uni178A,1010,1010
uni178A17B6,uni178A17B6,1010.2,1010.2
uni178A17C5.right,uni178A17C5.right,1010.37,1010.37
uni178A17CF,uni178A17CF,1010.4,1010.4
uni178B,uni178B,1011,1011
uni178B17B6,uni178B17B6,1011.2,1011.2
uni178B17C5.right,uni178B17C5.right,1011.37,1011.37
uni178C,uni178C,1012,1012
uni178C17B6,uni178C17B6,1012.2,1012.2
uni178C17C5.right,uni178C17C5.right,1012.37,1012.37
uni178D,uni178D,1013,1013
uni178D17B6,uni178D17B6,1013.2,1013.2
uni178D17C5.right,uni178D17C5.right,1013.37,1013.37
uni178E,uni178E,1014,1014
uni178E17B6,uni178E17B6,1014.2,1014.2
uni178E17C5.right,uni178E17C5.right,1014.37,1014.37
uni178F,uni178F,1015,1015
uni178F17B6,uni178F17B6,1015.2,1015.2
uni178F17C5.right,uni178F17C5.right,1015.37,1015.37
uni1790,uni1790,1016,1016
uni179017B6,uni179017B6,1016.2,1016.2
uni179017C5.right,uni179017C5.right,1016.37,1016.37
uni1791,uni1791,1017,1017
uni179117B6,uni179117B6,1017.2,1017.2
uni179117C5.right,uni179117C5.right,1017.37,1017.37
uni1792,uni1792,1018,1018
uni179217B6,uni179217B6,1018.2,1018.2
uni179217C5.right,uni179217C5.right,1018.37,1018.37
uni1793,uni1793,1019,1019
uni179317B6,uni179317B6,1019.2,1019.2
uni179317C5.right,uni179317C5.right,1019.37,1019.37
uni1794,uni1794,1020,1020
uni179417B6,uni179417B6,1020.2,1020.2
uni179417C5.right,uni179417C5.right,1020.37,1020.37
uni1794.lig.left,uni1794.lig.left,1020.5,1020.5
uni1795,uni1795,1021,1021
uni179517B6,uni179517B6,1021.2,1021.2
uni179517C5.right,uni179517C5.right,1021.37,1021.37
uni1796,uni1796,1022,1022
uni179617B6,uni179617B6,1022.2,1022.2
uni179617C5.right,uni179617C5.right,1022.37,1022.37
uni1797,uni1797,1023,1023
uni179717B6,uni179717B6,1023.2,1023.2
uni179717C5.right,uni179717C5.right,1023.37,1023.37
uni1798,uni1798,1024,1024
uni179817B6,uni179817B6,1024.2,1024.2
uni179817C5.right,uni179817C5.right,1024.37,1024.37
uni1799,uni1799,1025,1025
uni179917B6,uni179917B6,1025.2,1025.2
uni179917C5.right,uni179917C5.right,1025.37,1025.37
uni179A,uni179A,1026,1026
uni179A17B6,uni179A17B6,1026.2,1026.2
uni179A17C5.right,uni179A17C5.right,1026.37,1026.37
uni179A.spc,uni179A.spc,1026.9,1026.9
uni179B,uni179B,1027,1027
uni179B17B6,uni179B17B6,1027.2,1027.2
uni179B17C5.right,uni179B17C5.right,1027.37,1027.37
uni179C,uni179C,1028,1028
uni179C17B6,uni179C17B6,1028.2,1028.2
uni179C17C5.right,uni179C17C5.right,1028.37,1028.37
uni179C.spc,uni179C.spc,1028.9,1028.9
uni179D,uni179D,1029,1029
uni179D17B6,uni179D17B6,1029.2,1029.2
uni179D17C5.right,uni179D17C5.right,1029.37,1029.37
uni179E,uni179E,1030,1030
uni179E17B6,uni179E17B6,1030.2,1030.2
uni179E17C5.right,uni179E17C5.right,1030.37,1030.37
uni179F,uni179F,1031,1031
uni179F17B6,uni179F17B6,1031.2,1031.2
uni179F17C5.right,uni179F17C5.right,1031.37,1031.37
uni17A0,uni17A0,1032,1032
uni17A017B6,uni17A017B6,1032.2,1032.2
uni17A017C5.right,uni17A017C5.right,1032.37,1032.37
uni17A1,uni17A1,1033,1033
uni17A117B6,uni17A117B6,1033.2,1033.2
uni17A117C5.right,uni17A117C5.right,1033.37,1033.37
uni17A2,uni17A2,1034,1034
uni17A217B6,uni17A217B6,1034.2,1034.2
uni17A217C5.right,uni17A217C5.right,1034.37,1034.37
uni17A3,uni17A3,1101,1101
uni17A4,uni17A4,1102,1102
uni17A5,uni17A5,1103,1103
uni17A6,uni17A6,1104,1104
uni17A7,uni17A7,1105,1105
uni17A8,uni17A8,1106,1106
uni17A9,uni17A9,1107,1107
uni17AA,uni17AA,1108,1108
uni17AB,uni17AB,1109,1109
uni17AC,uni17AC,1110,1110
uni17AD,uni17AD,1111,1111
uni17AE,uni17AE,1112,1112
uni17AF,uni17AF,1113,1113
uni17B0,uni17B0,1114,1114
uni17B1,uni17B1,1115,1115
uni17B1.alt,uni17B1.alt,1115.1,1115.1
uni17B1.alt2,uni17B1.alt2,1115.11,1115.11
uni17B2,uni17B2,1116,1116
uni17B3,uni17B3,1117,1117
uni17B3.alt,uni17B3.alt,1117.1,1117.1
uni17B4,uni17B4,1200,1200
uni17B5,uni17B5,1201,1201
uni17B6,uni17B6,1202,1202
uni17B6.lig.right,uni17B6.lig.right,1202.7,1202.7
uni17B7,uni17B7,1203,1203
uni17B717CD,uni17B717CD,1203.5,1203.5
uni17B717CD.ms.high,uni17B717CD.ms.high,1203.566,1203.566
uni17B717CD.ms.high2,uni17B717CD.ms.high2,1203.5661,1203.5661
uni17B717CD.ms.narrowhigh,uni17B717CD.ms.narrowhigh,1203.5686,1203.5686
uni17B717CD.ms.narrowhigh2,uni17B717CD.ms.narrowhigh2,1203.56861,1203.56861
uni17B717CD.narrow,uni17B717CD.narrow,1203.58,1203.58
uni17B8,uni17B8,1204,1204
uni17B7.ms.high,uni17B7.ms.high,1204.24,1204.66
uni17B7.ms.high2,uni17B7.ms.high2,1204.241,1204.661
uni17B7.ms.narrowhigh,uni17B7.ms.narrowhigh,1204.266,1204.686
uni17B7.ms.narrowhigh2,uni17B7.ms.narrowhigh2,1204.2661,1204.6861
uni17B7.narrow,uni17B7.narrow,1204.38,1204.8
uni17B8.ms.high,uni17B8.ms.high,1204.66,1205.46
uni17B8.ms.high2,uni17B8.ms.high2,1204.661,1205.461
uni17B8.ms.narrowhigh,uni17B8.ms.narrowhigh,1204.686,1205.486
uni17B8.ms.narrowhigh2,uni17B8.ms.narrowhigh2,1204.6861,1205.4861
uni17B8.narrow,uni17B8.narrow,1204.8,1205.6
uni17B9,uni17B9,1205,1205
uni17B9.ms.high,uni17B9.ms.high,1205.66,1205.66
uni17B9.ms.high2,uni17B9.ms.high2,1205.661,1205.661
uni17B9.ms.narrowhigh,uni17B9.ms.narrowhigh,1205.686,1205.686
uni17B9.ms.narrowhigh2,uni17B9.ms.narrowhigh2,1205.6861,1205.6861
uni17B9.narrow,uni17B9.narrow,1205.8,1205.8
uni17BA,uni17BA,1206,1206
uni17BA.ms.high,uni17BA.ms.high,1206.66,1206.66
uni17BA.ms.high2,uni17BA.ms.high2,1206.661,1206.661
uni17BA.ms.narrowhigh,uni17BA.ms.narrowhigh,1206.686,1206.686
uni17BA.ms.narrowhigh2,uni17BA.ms.narrowhigh2,1206.6861,1206.6861
uni17BA.narrow,uni17BA.narrow,1206.8,1206.8
uni17BB,uni17BB,1207,1207
uni17BB.low,uni17BB.low,1207.2,1207.2
uni17BB.low.narrow,uni17BB.low.narrow,1207.28,1207.28
uni17BB.ms.low2,uni17BB.ms.low2,1207.62,1207.62
uni17BB.narrow,uni17BB.narrow,1207.8,1207.8
uni17BC,uni17BC,1208,1208
uni17BC.low,uni17BC.low,1208.2,1208.2
uni17BC.narrow,uni17BC.narrow,1208.8,1208.8
uni17BD,uni17BD,1209,1209
uni17BD.low,uni17BD.low,1209.2,1209.2
uni17BD.narrow,uni17BD.narrow,1209.8,1209.8
uni17BE,uni17BE,1210,1210
uni17BF,uni17BF,1211,1211
uni17BF.rightpart1,uni17BF.rightpart1,1211.71,1211.71
uni17BF.rightpart2,uni17BF.rightpart2,1211.72,1211.72
uni17BF.rightpart3,uni17BF.rightpart3,1211.73,1211.73
uni17C0,uni17C0,1212,1212
uni17C0.rightpart1,uni17C0.rightpart1,1212.71,1212.71
uni17C0.rightpart2,uni17C0.rightpart2,1212.72,1212.72
uni17C0.rightpart3,uni17C0.rightpart3,1212.73,1212.73
uni17C1,uni17C1,1213,1213
uni17C2,uni17C2,1214,1214
uni17C3,uni17C3,1215,1215
uni17C4,uni17C4,1216,1216
uni17C5,uni17C5,1217,1217
uni17C5.lig.right,uni17C5.lig.right,1217.7,1217.7
uni17C5.rightpart,uni17C5.rightpart,1217.71,1217.71
uni17C6,uni17C6,1300,1300
uni17C6.a,uni17C6.a,1300.1,1300.1
uni17C6.ms.high,uni17C6.ms.high,1300.66,1300.66
uni17C6.ms.high2,uni17C6.ms.high2,1300.661,1300.661
uni17C6.ms.narrowhigh,uni17C6.ms.narrowhigh,1300.686,1300.686
