uni17A9,LC,770,0
uni17A9,LR,1725,0
uni17A9,UC,770,1580
uni17A9,UN,770,1580
uni17A9,UR,1725,1580
uni17BD,LA,-679,-830
uni17BD,LX,-225,-830
uni17BD,_LR,-245,0
uni17BD,_LX,-225,0
uni17D2178817C5.right.alt,LC_1,-365,-735
uni17D2178817C5.right.alt,LC_2,782,0
uni17D2178817C5.right.alt,LR_1,562,-735
uni17D2178817C5.right.alt,LR_2,1312,0
uni17D2178817C5.right.alt,UC_1,122,1580
uni17D2178817C5.right.alt,UC_2,782,1580
uni17D2178817C5.right.alt,UN_1,-365,1580
uni17D2178817C5.right.alt,UN_2,782,1580
uni17D2178817C5.right.alt,UR_1,562,1580
uni17D2178817C5.right.alt,UR_2,1312,1580
uni17D217A0.low.alt,LA,-702,-1225
uni17D217A0.low.alt,LX,-148,-1225
uni17D217A0.low.alt,_LC,-702,-670
uni17D217A0.low.alt,_LR,-245,-670
uni17D217A0.low.alt,_LX,-225,-670
uni17CE.narrow,UA,-695,2136
uni17CE.narrow,UX,-225,2136
uni17CE.narrow,_UA,-695,1580
uni17CE.narrow,_UC,-715,1580
uni17D2179B.low,LA,-660,-1264
uni17D2179B.low,LX,-225,-1264
uni17D2179B.low,_LC,-660,-670
uni17D2179B.low,_LR,-245,-670
uni17D2179B.low,_LX,-225,-670
uni17CC.narrow,UA,-695,2097
uni17CC.narrow,UX,-225,2097
uni17CC.narrow,_UC,-695,1480
uni17CC.narrow,_UX,-225,1580
uni17D2178817B6.low.alt,LC_1,-371,-1265
uni17D2178817B6.low.alt,LC_2,782,0
uni17D2178817B6.low.alt,LR_1,562,-1265
uni17D2178817B6.low.alt,LR_2,1312,0
uni17D2178817B6.low.alt,UC_1,112,1580
uni17D2178817B6.low.alt,UC_2,782,1580
uni17D2178817B6.low.alt,UN_1,-371,1580
uni17D2178817B6.low.alt,UN_2,782,1580
uni17D2178817B6.low.alt,UR_1,562,1580
uni17D2178817B6.low.alt,UR_2,1312,1580
uni17D2178817B6.low.alt,zxc1,1068,1236
ringcomb,LU,-624,1845
ringcomb,_LU,-624,1340
uni1EEB,LL,700,-110
uni1EEB,LU,700,1798
uni1EEB,PB,0,0
uni1EEB,def,0,0
uni1EAD,LL,618,-507
uni1EAD,LU,637,1781
uni1EAD,PB,550,0
uni1EAD,def,560,0
uni1780,LC,787,0
uni1780,LR,1295,0
uni1780,UC,825,1580
uni1780,UN,787,1580
uni1780,UR,1295,1580
uni179917C5.right,LC_1,1160,0
uni179917C5.right,LC_2,2209,0
uni179917C5.right,LR_1,1987,0
uni179917C5.right,LR_2,2737,0
uni179917C5.right,UC_1,1509,1580
uni179917C5.right,UC_2,2209,1580
uni179917C5.right,UN_1,1160,1580
uni179917C5.right,UN_2,2209,1580
